timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768839260893,164,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-20,text,true,,276576,125,20,22,https://vnexpress.net/kinh-doanh,100,0,0
1768839260886,175,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-10,text,true,,316352,123,20,22,https://vnexpress.net/the-thao,107,0,0
1768839260841,225,GET Subpage - Thoi Su,200,OK,Thread Group 2 - Heavy Load 2-28,text,true,,314596,122,2,22,https://vnexpress.net/thoi-su,196,0,0
1768839260969,119,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-5,text,true,,316747,123,20,21,https://vnexpress.net/the-thao,88,0,0
1768839260886,230,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-7,text,true,,276559,125,20,21,https://vnexpress.net/kinh-doanh,101,0,0
1768839260991,130,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-11,text,true,,276639,125,20,21,https://vnexpress.net/kinh-doanh,94,0,0
1768839261002,130,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-8,text,true,,276903,125,20,21,https://vnexpress.net/kinh-doanh,93,0,0
1768839260482,656,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-9,text,true,,316400,123,20,21,https://vnexpress.net/the-thao,528,0,0
1768839261013,132,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-4,text,true,,316755,123,20,21,https://vnexpress.net/the-thao,93,0,0
1768839261037,121,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-13,text,true,,316717,123,20,21,https://vnexpress.net/the-thao,87,0,0
1768839261027,137,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-15,text,true,,316524,123,20,21,https://vnexpress.net/the-thao,102,0,0
1768839260857,308,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-18,text,true,,276911,125,20,21,https://vnexpress.net/kinh-doanh,276,0,0
1768839260893,276,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-6,text,true,,316756,123,20,21,https://vnexpress.net/the-thao,234,0,0
1768839260537,645,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-16,text,true,,316322,123,20,21,https://vnexpress.net/the-thao,579,0,0
1768839261088,114,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-5,text,true,,276888,125,20,21,https://vnexpress.net/kinh-doanh,86,0,0
1768839261057,154,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-20,text,true,,316330,123,20,21,https://vnexpress.net/the-thao,92,0,0
1768839261061,168,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-10,text,true,,276552,125,20,21,https://vnexpress.net/kinh-doanh,103,0,0
1768839261033,199,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-19,text,true,,276927,125,20,21,https://vnexpress.net/kinh-doanh,169,0,0
1768839261121,137,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-11,text,true,,316328,123,20,21,https://vnexpress.net/the-thao,99,0,0
1768839260955,309,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-12,text,true,,276887,125,20,21,https://vnexpress.net/kinh-doanh,277,0,0
1768839260841,433,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-14,text,true,,276607,125,20,21,https://vnexpress.net/kinh-doanh,358,0,0
1768839261165,117,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-18,text,true,,316733,123,20,21,https://vnexpress.net/the-thao,82,0,0
